ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
50,Vermont,VT,50003,Bennington County,50003971000,Census Tract 9710; Bennington County; Vermont,21.928749576848,3341,419,1366,185,1141,198,510,243,70,58,362,185,64,32,304,153,874,290,337,88,688,240,19,26,2,38,403,589,160,66,62,37,7,13,203,173,653,41,18.9,8.5,4.2,3.3,31.7,15.3,2.8,1.3,9.3,4.6,26.2,6.7,10.1,2.4,20.9,5.6,1.7,2.3,0.1,1.2,12.1,17.6,11.7,4.6,4.5,2.7,0.6,1.1,17.8,12.9,19.5,2.7,0.6021,0.6859,0.7382,0.1885,0.9686,3.1833,0.7853,0.822,0.0366,0.9058,0.1518,0.4712,2.3874,0.4921,0.8534,0.8534,0.8534,0.8534,0.4346,0.3874,0.9581,0.9686,3.6021,0.9529,10.0262,0.8743,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,2,4,5553,236,170,11,15,99,74,75,48,0,10,0,10,173,87,45,54,20.7,12.4,0.3,0.5,3.0,2.3,2.2,1.4,0.0,0.7,0.0,0.7,5.2,2.5,1.3,1.6
50,Vermont,VT,50003,Bennington County,50003971100,Census Tract 9711; Bennington County; Vermont,8.882078825776,4963,528,2022,219,1867,233,703,273,207,157,433,151,288,101,240,103,1351,274,756,114,901,213,90,60,4,40,349,749,10,18,52,43,10,17,134,102,297,16,14.9,5.5,8.9,6.4,23.2,7.6,7.5,2.4,5.1,2.1,27.2,4.6,15.2,2.6,19.0,3.7,4.8,3.2,0.1,0.8,7.0,15.1,0.5,0.9,2.6,2.1,0.5,0.9,7.2,5.2,6.0,0.7,0.4136,0.9372,0.3351,0.7539,0.7225,3.1623,0.7539,0.8534,0.1885,0.8586,0.6073,0.4712,2.979,0.8586,0.5026,0.5026,0.5026,0.3246,0.3298,0.3613,0.7068,0.8901,2.6126,0.5916,9.2565,0.7958,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4258,174,75,16,34,65,49,54,78,9,14,0,10,205,130,0,10,9.3,4.2,0.3,0.7,1.3,1.0,1.1,1.6,0.2,0.3,0.0,0.5,4.1,2.6,0.0,0.5
50,Vermont,VT,50003,Bennington County,50003971200,Census Tract 9712; Bennington County; Vermont,1.6880958593,4620,519,2523,228,2186,244,1293,362,0,10,1177,340,292,168,219,148,1068,258,788,157,1393,308,214,101,45,64,373,751,333,137,20,31,0,14,414,207,228,14,28.9,7.4,0.0,1.1,53.8,14.3,9.2,5.3,5.0,3.3,23.1,6.0,17.1,3.5,32.0,6.1,9.8,4.5,1.0,1.4,8.1,16.2,13.2,5.3,0.8,1.2,0.0,0.6,18.9,9.4,4.9,0.6,0.8901,0.0,0.9895,0.8586,0.6859,3.4241,0.8429,0.644,0.3665,0.9948,0.9372,0.8953,3.8378,0.9948,0.6283,0.6283,0.6283,0.8796,0.1414,0.0,0.9634,0.8482,2.8326,0.7068,10.7228,0.9634,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,4,7470,395,140,7,11,83,73,105,127,0,10,27,48,151,110,0,10,18.1,6.5,0.2,0.2,1.8,1.6,2.3,2.8,0.0,0.5,0.6,1.0,3.3,2.5,0.0,0.5
50,Vermont,VT,50003,Bennington County,50003971300,Census Tract 9713; Bennington County; Vermont,46.774780073748,3280,20,1405,171,1211,150,717,373,177,118,223,90,149,66,95,70,807,246,715,192,604,159,88,66,0,40,116,83,0,14,334,131,88,61,29,31,3,2,21.9,11.4,10.0,6.7,18.4,7.1,6.2,2.7,2.9,2.1,24.6,7.5,21.8,5.9,18.4,4.8,7.3,5.4,0.0,1.3,3.5,2.5,0.0,1.0,23.8,8.5,7.3,5.0,2.4,2.5,0.1,0.1,0.7225,0.9529,0.1257,0.5445,0.2932,2.6388,0.5497,0.7435,0.8586,0.8377,0.8168,0.0,3.2566,0.911,0.1518,0.1518,0.1518,0.0,0.9843,0.9791,0.2461,0.3403,2.5498,0.5602,8.597,0.7173,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,1641,293,118,0,10,17,26,0,10,8,13,0,10,55,42,36,58,24.2,8.5,0.0,0.7,0.5,0.8,0.0,0.7,0.2,0.4,0.0,0.7,1.7,1.3,1.1,1.8
50,Vermont,VT,50003,Bennington County,50003971400,Census Tract 9714; Bennington County; Vermont,92.117346052758,2556,319,1928,117,1076,123,452,152,43,39,283,91,31,22,122,64,651,152,426,127,262,95,22,19,0,40,204,438,0,14,85,53,0,14,22,19,4,4,17.7,5.5,3.4,3.0,26.3,7.9,1.6,1.1,4.8,2.6,25.5,6.0,16.7,4.1,10.3,3.6,2.0,1.8,0.0,1.6,8.0,17.1,0.0,0.7,4.4,2.7,0.0,1.3,2.0,1.7,0.2,0.2,0.555,0.5236,0.4974,0.0681,0.6702,2.3143,0.4084,0.7958,0.3455,0.178,0.1885,0.0,1.5078,0.1099,0.6178,0.6178,0.6178,0.0,0.4241,0.0,0.2094,0.3874,1.0209,0.0366,5.4608,0.1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2113,236,96,0,10,29,32,57,52,0,10,0,10,118,84,0,10,21.9,8.0,0.0,0.9,1.1,1.3,2.2,2.0,0.0,0.9,0.0,0.9,4.6,3.2,0.0,0.9
50,Vermont,VT,50003,Bennington County,50003971600,Census Tract 9716; Bennington County; Vermont,129.50784249882,4492,336,2184,145,1667,131,579,125,114,66,344,70,143,51,234,101,857,111,928,191,524,116,79,36,24,44,575,464,0,14,117,44,1,10,37,30,27,3,12.9,2.6,4.6,2.7,20.6,3.9,4.4,1.6,5.2,2.2,19.1,2.8,20.7,3.6,11.7,2.8,4.8,2.1,0.6,1.0,12.8,10.3,0.0,0.6,5.4,2.0,0.1,0.6,2.2,1.8,0.6,0.0,0.3246,0.7435,0.2199,0.3665,0.7435,2.398,0.4293,0.377,0.7487,0.3037,0.6073,0.8063,2.843,0.7906,0.8796,0.8796,0.8796,0.0,0.4974,0.2723,0.2356,0.4921,1.4974,0.1623,7.618,0.4712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3538,247,78,175,122,237,114,51,55,0,10,0,10,92,46,20,26,14.8,4.6,3.9,2.6,5.3,2.5,1.1,1.2,0.0,0.5,0.0,0.5,2.0,1.0,0.4,0.6
50,Vermont,VT,50005,Caledonia County,50005957000,Census Tract 9570; Caledonia County; Vermont,198.596179163308,4127,308,2578,123,1685,141,724,127,85,44,386,67,302,62,272,83,864,88,707,103,654,95,56,26,0,40,256,420,0,14,293,51,58,27,47,30,41,8,17.6,2.8,3.7,1.8,22.9,3.5,9.6,1.9,6.6,1.9,20.9,2.1,17.1,1.9,15.9,2.1,3.4,1.5,0.0,1.0,6.2,10.2,0.0,0.5,11.4,1.9,3.4,1.6,2.8,1.8,1.0,0.2,0.5393,0.5864,0.3246,0.8691,0.8586,3.178,0.7749,0.445,0.3665,0.6597,0.4084,0.0,1.8796,0.2408,0.3874,0.3874,0.3874,0.0,0.8586,0.8691,0.2984,0.5969,2.623,0.6073,8.068,0.5759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,327,66,16,20,81,49,42,38,13,15,0,10,98,57,6,9,19.4,3.3,0.4,0.5,2.0,1.2,1.0,0.9,0.3,0.4,0.0,0.5,2.4,1.3,0.1,0.2
50,Vermont,VT,50005,Caledonia County,50005957100,Census Tract 9571; Caledonia County; Vermont,58.25869332727,2050,289,1246,79,830,92,524,186,14,13,273,73,109,52,76,41,381,81,467,130,215,55,35,25,0,40,38,410,9,18,80,53,1,10,30,26,0,10,25.6,8.3,1.3,1.2,32.9,8.0,7.7,3.4,3.7,1.9,18.6,4.3,22.8,3.9,10.5,2.9,4.2,3.0,0.0,2.1,1.9,20.0,0.7,1.4,6.4,4.2,0.1,1.2,3.6,3.1,0.0,0.5,0.8586,0.1466,0.7644,0.7801,0.4712,3.0209,0.6859,0.3455,0.9058,0.1832,0.5079,0.0,1.9424,0.2723,0.0314,0.0314,0.0314,0.3613,0.5393,0.2723,0.4346,0.0,1.6075,0.199,6.6022,0.267,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1297,177,56,1,2,15,16,0,10,2,3,0,10,18,11,2,3,21.3,6.0,0.0,0.1,0.7,0.8,0.0,1.1,0.1,0.2,0.0,1.1,0.9,0.6,0.1,0.1
50,Vermont,VT,50005,Caledonia County,50005957200,Census Tract 9572; Caledonia County; Vermont,16.943240320518,2452,249,1290,132,1157,142,515,188,7,8,277,93,186,123,74,55,598,125,348,81,708,167,10,15,0,40,202,352,61,37,225,98,7,16,113,62,61,5,21.6,7.5,0.5,0.6,23.9,7.5,9.6,5.8,3.1,2.3,24.4,5.0,14.2,3.1,29.6,6.3,0.9,1.3,0.0,1.7,8.2,14.3,4.7,2.8,17.4,7.5,0.6,1.4,9.8,5.4,2.5,0.3,0.712,0.0628,0.3822,0.8691,0.3403,2.3664,0.4188,0.7277,0.1466,0.9843,0.0628,0.0,1.9214,0.267,0.6335,0.6335,0.6335,0.6387,0.9634,0.3874,0.8115,0.7435,3.5445,0.9424,8.4658,0.6702,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,2870,321,120,12,20,77,56,0,10,14,20,0,10,87,46,12,20,27.7,8.5,0.5,0.8,3.1,2.3,0.0,0.9,0.6,0.8,0.0,0.9,3.5,1.8,0.5,0.8
50,Vermont,VT,50005,Caledonia County,50005957300,Census Tract 9573; Caledonia County; Vermont,22.39745848585,3112,248,1162,104,1125,101,462,213,63,58,419,143,83,74,84,71,459,138,511,124,548,166,96,77,0,40,107,350,0,14,81,57,0,14,89,60,492,17,16.9,7.6,3.6,3.3,37.2,12.3,4.5,3.9,2.7,2.3,14.7,4.6,16.4,3.7,17.6,5.6,8.5,6.8,0.0,1.3,3.4,11.2,0.0,1.2,7.0,4.9,0.0,1.2,7.9,5.2,15.8,1.4,0.4817,0.5654,0.9005,0.3979,0.2461,2.5916,0.534,0.1571,0.3194,0.8063,0.8796,0.0,2.1624,0.3351,0.1257,0.1257,0.1257,0.0,0.5916,0.0,0.7487,0.9476,2.2879,0.4712,7.1676,0.377,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3134,169,81,50,85,27,38,0,10,0,10,0,10,27,33,3,7,15.0,7.2,1.6,2.7,0.9,1.2,0.0,0.7,0.0,0.7,0.0,0.7,0.9,1.1,0.1,0.2
